Unique_ID,Arm.Name,Randomized,KM_Curves,Rand_Group,N_Patient,OS,OS_Comp,OS_pval,OS_events,OS_KM,OS_Note,TTP,TTP_Comp,TTP_pval,TTP_KM,TTP_events,TTP_Note,PFS,PFS_Comp,PFS_pval,PFS_KM,PFS_events,PFS_Note
AWADA1113_T1,Etirinotecan pegol 145 mg/m2 every 14 days,Yes,Yes,,35,8.8,,,27,AWADA1113_OS_14day.xml,Also reports patient counts,,,,,,,3.3,,,AWADA1113_PFS_14day.xml,32,Also reports patient counts
AWADA1113_T2,Etirinotecan pegol 145 mg/m2 every 21 days,Yes,Yes,,35,13.1,,,23,AWADA1113_OS_21day.xml,,,,,,,,5.6,,,AWADA1113_PFS_21day.xml,29,
AWADA1216_T1,Neratinib Plus Paclitaxel,Yes,,,242,,"HR 1.05 [0.76, 1.45] p=0.77",,,,,,,,,,,12.9,"HR 1.02 [0.81, 1.27] p=0.89",,,,
AWADA1216_T2,Trastuzumab Plus Paclitaxel,Yes,,,237,,,,,,,,,,,,,12.9,,,,,
BACHE0711_T1,XT,Yes,Yes,,33,36.4,,,17.49,BACHE0711_OS_XT.xml,53% of patients died by follow-up,,,,,,,12.4,,,BACHE0711_PFS_XT.xml,33,overall p=0.0404
BACHE0711_T2,ET,Yes,Yes,,35,26.6,,,18.02,BACHE0711_OS_ET.xml,,,,,,,,6.8,,,BACHE0711_PFS_ET.xml,34,
BACHE0812_T1,Tamoxifen Alone,Yes,Yes,,57,32.9,,,,BACHE0812_OS_T.xml,,4.5,,,BACHE0812_OS_T.xml,,,,,,,,
BACHE0812_T2,Tamoxifen Plus Everolimus,Yes,Yes,,54,,"HR 0.45 [0.24, 0.81] p=0.007",,,BACHE0812_OS_T+E.xml,,8.6,"HR 0.54 [0.36, 0.81] p=0.0021",,BACHE0812_OS_T+E.xml,,,,,,,,
BAIDA0700_T1,200 mg,Yes,,,14,,,,,,,,,,,,,,,,,,
BAIDA0700_T2,800 mg,Yes,,,14,,,,,,,,,,,,,,,,,,
BAJET0102_T1,OP-LAR and TAM,Yes,,,99,,,,,,,,,,,,,5.83,,,BAJET0102_PFS_OPLAR.xml,53,overall p=0.62
BAJET0102_T2,Placebo and TAM,Yes,,,100,,,,,,,,,,,,,6.28,,,BAJET0102_PFS_placebo.xml,56,
BAJET0299_T1,Letrozole 0.5 mg,Yes,,,22,,,,,,,3.13,,,,,not broken down by arm; no additional info,,,,,,
BAJET0299_T2,Letrozole 2.5 mg,Yes,,,24,,,,,,,3.13,,,,,not broken down by arm; no additional info,,,,,,
BAJET0794_T1,250 mg,Yes,Yes,,69,30,,,,BAJET0794_OS_250mg.xml,,8,,,BAJET0794_TTP_250mg.xml,69,,,,,,,
BAJET0794_T2,500 mg,Yes,Yes,,68,22,,,,BAJET0794_OS_500mg.xml,,9,,,BAJET0794_TTP_500mg.xml,68,,,,,,,
BAND1077_T1,Bleomycin,Yes,,,24,,,,,,,,,,,,,,,,,,
BAND1077_T2,CCNU,Yes,,,20,,,,,,,,,,,,,,,,,,
BAND1077_T3,Streptozotocin,Yes,,,20,,,,,,,,,,,,,,,,,,
BARRI0510_T1,Sunitinib,Yes,Yes,,238,15.3,"HR 1.17 [0.84, 1.63] p=0.350",,,BARRI0510_OS_SUN.xml,,,,,,,,2.8,"HR 1.47 [1.16, 1.87] p=0.002",,BARRI0510_PFS_SUN.xml,,
BARRI0510_T2,Capecitabine,Yes,Yes,,244,24.6,,,,BARRI0510_OS_CAP.xml,,,,,,,,4.2,,,BARRI0510_PFS_CAP.xml,,
BASEL0112_T1,Placebo plus Trasuzumab plus Docetaxel,Yes,,,406,40.8,,,,,,,,,,,,12.4,,,,,
BASEL0112_T2,Pertuzumab plus Trastuzumab plus Docetaxel,Yes,,,402,56.5,"HR 0.68 [0.56, 0.84] p<0.001",,,,,,,,,,,18.7,"HR 0.68 [0.58, 0.80] p<0.001",,,,
BASEL0212_T1,Everolimus and Exemestane,Yes,,,482,31,"HR 0.89 [0.73, 1.10] p=0.14",,,,,,,,,,,11,"HR 0.38 [0.31, 0.48] p<0.001",,BASEL0212_PFS_EV.xml,,
BASEL0212_T2,Placebo and Exemestane,Yes,,,238,26.6,,,,,,,,,,,,4.1,,,BASEL0212_PFS_PLACEBO.xml,,
BASEL0314_T1,MTP,Yes,,,181,33.6,"HR 0.793 [0.610, 1.031] p=0.083",,,,,,,,,,,16.1,"HR 0.837 [0.648, 1.082] p=0.174",,,,
BASEL0314_T2,TP,Yes,,,182,29,,,,,,,,,,,,14.5,,,,,
BASEL0512_T1,Sorafenib plus Capecitabine population,Yes,Yes,,115,22.2,"HR 0.86 [0.61, 1.23] p=0.42",,,BASEL0512_OS_SORA.xml,,6.8,"HR 0.56 [0.39, 0.80] p<0.001",,,,,6.4,"HR 0.58 [0.41, 0.81] p<0.001",,BASEL0512_PFS_SORA.xml,,
BASEL0512_T2,Placebo plus Capecitabine population,Yes,Yes,,114,20.9,,,,BASEL0512_OS_PLACEBO.xml,,4.1,,,,,,4.1,,,BASEL0512_PFS_PLACEBO.xml,,
BASEL0617_T3,RIDA 30 mg + DALO,Yes,Yes,,29,24.7,"HR 1.28 [0.65, 2.49] p=0.763",,,BASEL0617_OS_MK.xml,,,,,,,,4.99,"HR 1.00 [0.46, 2.19] p=0.5",,BASEL0617_PFS_MK.xml,,
BASEL0617_T4,Exemestane,Yes,Yes,,33,24.9,,,,BASEL0617_OS_Exe.xml,,,,,,,,5.67,,,BASEL0617_PFS_Exe.xml,,
BASEL0713_T1,Cisplatin plus cetuximab,Yes,,,115,12.9,"HR 0.82 [0.56, 1.20] p=0.31",,,,,,,,,,,3.7,"HR 0.67 [0.47, 0.97] p=0.032",,,,
BASEL0713_T2,Cisplatin alone,Yes,,,58,9.4,,,,,,,,,,,,1.5,,,,,
BASEL0717_T1,Buparlisib plus fulvestrant,Yes,,,576,,,,,,,,,,,,,6.9,"HR 0.78 [0.67, 0.89]",,BASEL0713_PFS_BUP.xml,,1-sided p-value also provided
BASEL0717_T2,Placebo plus fulvestrant,Yes,,,571,,,,,,,,,,,,,5,,,BASEL0713_PFS_PLACEBO.xml,,
BASEL0903_T1,20 mg,Yes,,,46,,,,,,,10.7,,,BASEL0903_TTP_20mg.xml,42,also has patient counts,,,,,,
BASEL0903_T2,50 mg,Yes,,,46,,,,,,,8.6,,,BASEL0903_TTP_50mg.xml,43,also has patient counts,,,,,,
BASTH0496_T1,Epirubicin Dose: 40 mg/m2,Yes,Yes,,75,13.6,,,,BASTH0496_OS_40mg.xml,,4.4,,,BASTH0496_TTP_40mg.xml,75,,,,,,,
BASTH0496_T2,Epirubicin Dose: 60 mg/m2,Yes,Yes,,66,14,,,,BASTH0496_OS_60mg.xml,,4.7,,,BASTH0496_TTP_60mg.xml,66,,,,,,,
BASTH0496_T3,Epirubicin Dose: 90 mg/m2,Yes,Yes,,64,14.6,,,,BASTH0496_OS_90mg.xml,,8.4,,,BASTH0496_TTP_90mg.xml,64,,,,,,,
BASTH0496_T4,Epirubicin Dose: 135 mg/m2,Yes,Yes,,58,11.3,,,,BASTH0496_OS_135mg.xml,,8.4,,,BASTH0496_TTP_135mg.xml,58,,,,,,,
BATIS0301_T1,MC,Yes,Yes,,142,19,,,,BATIS0301_OS_MC.xml,,5.1,,,BATIS0301_TTP_MC.xml,,,,,,,,
BATIS0301_T2,AC,Yes,Yes,,155,16,"HR 1.04 [0.77, 1.42] p=0.79",,,BATIS0301_OS_AC.xml,,5.5,"HR 1.03 [0.80, 1.33] p=0.82",,BATIS0301_TTP_AC.xml,,,,,,,,
BEEX0381_T1,EE2 group,Yes,,,29,31,,,,,not reported as single K-M curve,,,,,,,,,,BEEX0381_PFS_EE2.xml,,
BEEX0381_T2,Tamoxifen group,Yes,,,30,25,,,,,not reported as single K-M curve,,,,,,,,,,BEEX0381_PFS_TAM.xml,,
BEEX1206_T1,Continuous tamoxifen,Yes,Yes,,94,35.1,,,82,BEEX1206_PFS_continuous.xml,also reports patient counts,,,,,,,11,,,BEEX1206_PFS_continuous.xml,93,
BEEX1206_T2,Intermittent tamoxifen,Yes,Yes,,93,35.2,,,78,BEEX1206_PFS_intermittent.xml,also reports patient counts,,,,,,,8,,,BEEX1206_PFS_intermittent.xml,88,
BEEX1206_T3,Intermittent/alternated tam/MPA,Yes,Yes,,89,31.4,,,76,BEEX1206_PFS_TMPA.xml,also reports patient counts,,,,,,,10.8,,,BEEX1206_PFS_TMPA.xml,87,
BEEX1287_T1,Oral,Yes,,,56,12,,,,,no further information,,,,,,,,,,,,
BEEX1287_T2,Intramuscular,Yes,,,51,10,,,,,no further information,,,,,,,,,,,,
BELTR0791_T1,TAM group,Yes,,,60,22.01,,,,,reports p=0.004,7,,,BELTR0791_TTP_TAM.xml,54,p=0.019,,,,,,
BELTR0791_T2,TAM-MPA group,Yes,,,60,30.97,,,,,,15,,,BELTR0791_TTP_TAMMPA.xml,58,,,,,,,
BENNE1088_T1,CNF,Yes,Yes,,167,12.57,,,142,BENNE1088_OS_CNF.xml,,4.83,,,BENNE1088_TTP_CNF.xml,115,p=0.18,,,,,,
BENNE1088_T2,CAF,Yes,Yes,,164,12.83,,0.25,141,BENNE1088_OS_CAF.xml,,5.8,,,BENNE1088_TTP_CAF.xml,116,,,,,,,
BERGH0312_T1,Sunitinib + Docetaxel,Yes,Yes,,296,24.8,"HR 1.21 [0.91, 1.60]",,,BERGH0312_OS_SU+DOC.xml,1-sided p-value,,,,,,,8.6,"HR 0.92 [0.72, 1.19] p=0.265",,BERGH0312_PFS_SU+DOC.xml,,1-sided p-value
BERGH0312_T2,Docetaxel,Yes,Yes,,297,25.5,,,,BERGH0312_OS_DOC.xml,,,,,,,,8.3,,,BERGH0312_PFS_DOC.xml,,
BERGH0612_T1,Anastrozole plus fulvestrant,Yes,Yes,,258,37.8,"HR 1.00 [0.76, 1.32]",,,BERGH0612_OS_A+F.xml,,10.8,"HR 0.99 [0.81, 1.20] p=0.91",,,,,,,,BERGH0612_PFS_A+F.xml,,
BERGH0612_T2,Anastrozole,Yes,Yes,,256,38.2,,,,BERGH0612_OS_A.xml,,10.2,,,,,,,,,BERGH0612_PFS_A.xml,,
BERRU1002_T1,EPI,Yes,,,91,,,,,,,8.6,,,BERRU1002_TTP_EPI.xml,93,,,,,,,
BERRU1002_T2,EPI + CDDP,Yes,,,90,,,,,,,11,,,BERRU1002_TTP_EPICDDP.xml,92,,,,,,,
BERRU1002_T3,EPI + LND,Yes,,,92,,,,,,,10.1,,,BERRU1002_TTP_EPILND.xml,93,,,,,,,
BERRU1002_T4,EPI + CDDP + LND,Yes,,,90,,,,,,,11,,,BERRU1002_TTP_EPICDDPLND.xml,93,,,,,,,
BEUSE0710_T1,Paclitaxel,Yes,Yes,,33,13,,,,BEUSE0710_OS_paclitaxel.xml,,4.9,,,BEUSE0710_TTP_paclitaxel.xml,33,,,,,,,
BEUSE0710_T2,Docetaxel,Yes,Yes,,37,7.5,,,,BEUSE0710_OS_docetaxel.xml,,3,,,BEUSE0710_TTP_docetaxel.xml,37,,,,,,,
BEZWO0879_T1,CVMF,Yes,,,57,11.8,,,,,KM curve split by response,,,,,,,,,,,,
BEZWO0879_T2,CAMF,Yes,,,51,12.9,,,,,KM curve split by response,,,,,,,,,,,,
BEZWO0998_T1,Fadrozole 1 mg,Yes,,,46,19.1,,,,,,3.72,,,,,,,,,,,
BEZWO0998_T2,Megestrol acetate 40 mg,Yes,,,50,24.43,,,,,,3.9,,,,,,,,,,,
BEZWO1282_T1,Schedule A,Yes,,,24,,,,,,"KM curve split up, and MOS only given for responders",,,,,,,,,,,,
BEZWO1282_T2,Schedule B,Yes,,,28,,,,,,"KM curve split up, and MOS only given for responders",,,,,,,,,,,,
BIGAT0702_T1,AT,Yes,,,138,20.6,,,,BIGAT0702_OS_AT.xml,,,,,,,,6,,,,,BIGAT0702_PFS_AT.xml
BIGAT0702_T2,AC,Yes,,,137,20.5,"HR 0.90 [0.67, 1.21] p=0.49",,,BIGAT0702_OS_AC.xml,,,,,,,,6,"HR 1.06 [0.83, 1.35] p=0.65",,,,BIGAT0702_PFS_AC.xml
BISHO0899_T1,Paclitaxel,Yes,Yes,,107,17.3,,0.068,74.9,BISHO0899_OS_paclitaxel.xml,has patient counts; follow-up range 17-40,,,,,,,5.3,,,BISHO0899_PFS_paclitaxel.xml,107,p=0.25; has patient counts
BISHO0899_T2,CMFP,Yes,Yes,,102,13.9,,,81.6,BISHO0899_OS_CMFP.xml,,,,,,,,6.4,,,BISHO0899_PFS_CMFP.xml,102,
BLACK0310_T1,Lapatinib,Yes,Yes,,148,9.5,,,,BLACK0310_OS_L.xml,,,,,,,,1.89,,,BLACK0310_PFS_L.xml,,
BLACK0310_T2,Lapatinib Plus Trastuzumab,Yes,Yes,,148,14,"HR 0.75 [0.53, 1.07] p=0.106",,,BLACK0310_OS_L+T.xml,,,,,,,,2.59,"HR 0.73 [0.57, 0.93] p=0.008",,BLACK0310_PFS_L+T.xml,,
BLAJM0399_T1,FAC,Yes,Yes,,85,17.3,,,,BLAJM0399_OS_FAC.xml,,9,,,BLAJM0399_TTP_FAC.xml,85,p=0.1965,,,,,,
BLAJM0399_T2,,Yes,Yes,,85,17.8,,0.1584,,BLAJM0399_OS_NA.xml,,7.5,,,BLAJM0399_TTP_NA.xml,85,,,,,,,
BLOHM0710_T1,EC,Yes,Yes,,111,19.9,,,,BLOHM0710_OS_EC.xml,,10.1,,,,,,,,,BLOHM0710_PFS_EC.xml,,
BLOHM0710_T2,ED,Yes,Yes,,125,30,HR 0.663 p=0.21,0.21,,BLOHM0710_OS_ED.xml,,10.3,HR 0.98 p=0.38,,,,,,,,BLOHM0710_PFS_ED.xml,,
BLOMQ0393_T1,FEC Every 28 Days,Yes,Yes,,83,21.2,,0.01,,BLOMQ0393_OS_monthly.xml,,9.2,,,BLOMQ0393_TTP_monthly.xml,86,p=0.005,,,,,,
BLOMQ0393_T2,FEC Every 7 Days,Yes,Yes,,83,11.8,,,,BLOMQ0393_OS_weekly.xml,,5.4,,,BLOMQ0393_TTP_weekly.xml,84,,,,,,,
BOCCA1285_T1,Chemotherapy,Yes,Yes,,36,20,,,,BOCCA1285_OS_C.xml,patient counts given,10.6,,,,,,,,,BOCCA1285_PFS_C.xml,,
BOCCA1285_T2,Chemohormone therapy,Yes,Yes,,32,34,,,,BOCCA1285_OS_CH.xml,patient counts given,17.2,,,,,,,,,BOCCA1285_PFS_CH.xml,,
BOER0412_T1,Vandetanib 100 mg + docetaxel,Yes,,,33,,,,,,,,,,,,,8.17,"HR 0.69 [0.46, 1.04] p=0.25",,,,
BOER0412_T2,Placebo + docetaxel,Yes,,,29,,,,,,,,,,,,,5.6,,,,,
BONNE1004_T1,ET,Yes,Yes,,70,34,,,33,BONNE1004_OS_ET.xml,,7.8,,,BONNE1004_TTP_ET.xml,,,,,,,,
BONNE1004_T2,FEC,Yes,Yes,,72,28,,,41,BONNE1004_OS_FEC.xml,,5.9,,,BONNE1004_TTP_FEC.xml,,,,,,,,
BONNE1085_T1,500 mg,Yes,,,73,13.2,,,,,KM split by response,,,,,,,,,,,,
BONNE1085_T2,1000 mg,Yes,,,76,14.2,,,,,KM split by response,,,,,,,,,,,,
BONNE1100_T1,Anastrozole 1 mg,Yes,,,336,,,,,,,8.2,,,BONNE1004_TTP_ANA.xml,,,,,,,,
BONNE1100_T2,Tamoxifen 20 mg,Yes,,,329,,,,,,,8.3,HR 0.99 p=0.941,,BONNE1004_TTP_TAM.xml,,,,,,,,
BONNE1102_T1,Docetaxel,Yes,Yes,,86,16,,,51,BONNE1102_OS_DOC.xml,,6.5,,,BONNE1102_TTP_DOC.xml,,,,,,,,
BONNE1102_T2,FUN,Yes,Yes,,90,15,,,45,BONNE1102_OS_FUN.xml,,5.1,,,BONNE1102_TTP_FUN.xml,,,,,,,,
BONNE1288_T1,Placebo,Yes,,,80,,,,,,,,,,,,,,,,,,
BONNE1288_T2,Bromocriptine,Yes,,,71,,,,,,,,,,,,,,,,,,
BONTE0698_T1,Doxorubicin,Yes,Yes,,116,10.97,,0.2,95,BONTE0698_OS_DOX.xml,patient counts available,5.37,,,BONTE0698_TTP_DOX.xml,,,,,,,,
BONTE0698_T2,Epirubicin,Yes,Yes,,113,10.27,,,103,BONTE0698_OS_EPI.xml,,4.43,,,BONTE0698_TTP_EPI.xml,,,,,,,,
BONTE1005_T1,AT,Yes,Yes,,108,22.6,,,,BONTE1005_OS_AT.xml,,8,,,BONTE1005_TTP_AT.xml,,,,,,,,
BONTE1005_T2,FAC,Yes,Yes,,107,16.2,"HR 1.43 [1.06, 1.92] p=0.019",,,BONTE1005_OS_FAC.xml,,6.6,"HR 1.50 [1.13, 1.98] p=0.004",,BONTE1005_TTP_FAC.xml,,,,,,,,
BRAMB0178_T1,Therapy A,Yes,,,55,,,,,,,,,,,,,,,,,,
BRAMB0178_T2,Therapy B,Yes,,,55,,,,,,,,,,,,,,,,,,
BRAMB0286_T1,Doxorubicin,Yes,,,21,,,,,,,,,,,,,,,,,,
BRAMB0286_T2,Epirubicin,Yes,,,23,,,,,,,,,,,,,,,,,,
BRAMB0374_T1,Adriamycin + vincristine group,Yes,,,20,,,,,,,,,,,,,,,,,,
BRAMB0374_T2,Adriamycin + vincristine + prednisone group,Yes,,,22,,,,,,,,,,,,,,,,,,
BRAMB0476_T1,CMF,Yes,Yes,,53,17.5,,,32,BRAMB0476_OS_CMF.xml,,,,,,,,,,,BRAMB0476_PFS_CMF.xml,,
BRAMB0476_T2,AV,Yes,Yes,,52,22.5,,0.34,27,BRAMB0476_OS_AV.xml,,,,,,,,,,,BRAMB0476_PFS_AV.xml,,
BRATH0884_T1,10 mg bd,Yes,,,116,,,,,,,,,,,,,,,,,,
BRATH0884_T2,20 mg bd,Yes,,,121,,,,,,,,,,,,,,,,,,
BROWN0277_T1,FACO,Yes,,,72,,,,,,,,,,,,,,,,,,
BROWN0277_T2,FANO,Yes,,,60,,,,,,,,,,,,,,,,,,
BROWN0277_T3,FANOM,Yes,,,55,,,,,,,,,,,,,,,,,,
BROWN0676_T1,AO,Yes,,,20,,,,,,,,,,,,,,,,,,
BROWN0676_T2,ACO,Yes,,,27,,,,,,,,,,,,,,,,,,
BROWN0676_T3,FACO,Yes,,,34,,,,,,,,,,,,,,,,,,
BRUFM0297_T1,FEC100,Yes,,,212,18,,0.54,,BRUFM0297_OS_FEC100.xml,,7.6,,,,,,,,,,,
BRUFM0297_T2,FEC50,Yes,,,241,17,,,,BRUFM0297_OS_FEC50.xml,,7,,,,,,,,,,,
BRUFS0811_T1,PB,Yes,Yes,,94,25,,,,BRUFS0811_OS_PB.xml,,,,,,,,8.8,,,BRUFS0811_PFS_PB.xml,,
BRUFS0811_T2,PB+G,Yes,Yes,,93,24.3,"HR 0.84 [0.52, 1.35] p=0.475",,,BRUFS0811_OS_PB+G.xml,,,,,,,,11.3,"HR 0.82 [0.60, 1.14] p=0.247",,BRUFS0811_PFS_PB+G.xml,,
BRUNI0289_T1,Group A,Yes,,,25,,,,,,,,,,,,,,,,,,KM split by response status
BRUNI0289_T2,Group B,Yes,,,19,,,,,,,,,,,,,,,,,,KM split by response status
BRUNI0289_T3,Group C,Yes,,,27,,,,,,,,,,,,,,,,,,KM split by response status
BRUNN0677_T1,Premenopausal: Ovariectomy + chemotherapy,Yes,,A,19,19.9,,,,BRUNN0677_OS1_ovariectomy.xml,,,,,,,,,,,,,
