Paper,Disease,TRUE,Surrogate,Trial,Patients Treatment,Patients Control,HR Surrogate,CI Surrogate,HR True,CI True,
"BURZY0408
",MBC,OS,TTP,EORTC 10961,,,0.95,"[0.74,1.20]",1.12,"[0.82,1.53]",
"BURZY0408
",MBC,OS,TTP,CCEI,,,0.72,"[0.55,0.95]",0.69,"[0.51,0.93]",
"BURZY0408
",MBC,OS,TTP,Tax307,,,0.96,"[0.79,1.16]",0.96,"[0.78,1.19]",
"BURZY0408
",MBC,OS,TTP,Tax306,,,0.89,"[0.72,1.09]",0.89,"[0.72,1.11]",
"BURZY0408
",MBC,OS,TTP,CCC,,,0.67,"[0.51,0.88]",0.7,"[0.52,0.94]",
"BURZY0408
",MBC,OS,TTP,French,,,0.85,"[0.57,1.28]",0.79,"[0.50,1.25]",
"BURZY0408
",MBC,OS,TTP,ECOG,,,0.97,"[0.81,1.17]",0.94,"[0.78,1.14]",
"BURZY0408
",MBC,OS,TTP,EORTC 10923,,,1.69,"[1.35,2.11]",1.08,"[0.86,1.36]",
"BURZY0408
",MBC,OS,TTP,Tax303,,,1.02,"[0.65,1.60]",1.18,"[0.68,2.03]",
"BURZY0408
",MBC,OS,Response,UKCCR,,,1.49,"[1.11,2.02]",1.02,"[0.87,1.19]",*Odds Ratio
"BURZY0408
",MBC,OS,Response,AGO,,,1.64,"[1.16,2.33]",1.16,"[0.94,1.43]",
"BURZY0408
",MBC,OS,Response,EORTC 10961,,,1.17,"[0.73,1.89]",1.12,"[0.82,1.53]",
"BURZY0408
",MBC,OS,Response,CCEI,,,1.57,"[0.96,2.56",0.69,"[0.51,0.93]",
"BURZY0408
",MBC,OS,Response,Tax307,,,1.44,"[1.01,2.07]",0.96,"[0.78,1.19]",
"BURZY0408
",MBC,OS,Response,Tax306,,,1.68,"[1.14,2.46]",0.89,"[0.72,1.11]",
"BURZY0408
",MBC,OS,Response,CCC,,,2.29,"[1.33,3.96]",0.7,"[0.52,0.94]",
"BURZY0408
",MBC,OS,Response,French,,,3.01,"[1.52,5.98]",0.79,"[0.50,1.25]",
"BURZY0408
",MBC,OS,Response,ECOG,,,0.97,"[0.67,1.41]",0.94,"[0.78,1.14]",
"BURZY0408
",MBC,OS,Response,EORTC 10923,,,0.49,"[0.31,0.79]",1.08,"[0.86,1.36]",
"BURZY0408
",MBC,OS,Response,Tax303,,,1.01,"[0.45,2.24]",1.18,"[0.68,2.03]",
"BURZY0408
",MBC,OS,Disease Stabilization,UKCCR,,,1.33,"[0.96,1.87]",1.02,"[0.87,1.19]",*Odds Ratio
"BURZY0408
",MBC,OS,Disease Stabilization,AGO,,,1.77,"[1.22,2.55]",1.16,"[0.94,1.43]",
"BURZY0408
",MBC,OS,Disease Stabilization,EORTC 10961,,,1.01,"[0.61,1.66]",1.12,"[0.82,1.53]",
"BURZY0408
",MBC,OS,Disease Stabilization,CCEI,,,1.67,"[0.98,2.84]",0.69,"[0.51,0.93]",
"BURZY0408
",MBC,OS,Disease Stabilization,Tax307,,,1.17,"[0.81,1.68]",0.96,"[0.78,1.19]",
"BURZY0408
",MBC,OS,Disease Stabilization,Tax306,,,1.23,"[0.82,1.83]",0.89,"[0.72,1.11]",
"BURZY0408
",MBC,OS,Disease Stabilization,CCC,,,1.9,"[1.06,3.44]",0.7,"[0.52,0.94]",
"BURZY0408
",MBC,OS,Disease Stabilization,French,,,3.01,"[1.51,5.98]",0.79,"[0.50,1.25]",
"BURZY0408
",MBC,OS,Disease Stabilization,ECOG,,,0.98,"[0.69,1.40]",0.94,"[0.78,1.14]",
"BURZY0408
",MBC,OS,Disease Stabilization,EORTC 10923,,,0.4,"[0.25,0.62]",1.08,"[0.86,1.36]",
"BURZY0408
",MBC,OS,Disease Stabilization,Tax303,,,0.72,"[0.31,1.67]",1.18,"[0.68,2.03]",
"BERRU1214
",Breast Cancer,OS,DFS,Buzdar,,,0.7,,0.869358235,,Unlogged the OS HR; study labels appear to be off
"BERRU1214
",Breast Cancer,OS,DFS,Dieras,,,0.77,,0.960789439,,
"BERRU1214
",Breast Cancer,OS,DFS,Smith,,,0.85,,0.886920437,,
"BERRU1214
",Breast Cancer,OS,DFS,Evans,,,0.69,,0.810584246,,
"BERRU1214
",Breast Cancer,OS,DFS,Rastogi,,,0.26,,0.193980042,,
"BERRU1214
",Breast Cancer,OS,DFS,Cortes-Flores,,,2.85,,2.50929039,,
"BERRU1214
",Breast Cancer,OS,DFS,Bonnefoi,,,1.18,,1.404947591,,
"BERRU1214
",Breast Cancer,OS,DFS,Chua,,,0.73,,0.771051586,,
"BERRU1214
",Breast Cancer,OS,DFS,Chen,,,0.51,,1.051271096,,
"BERRU1214
",Breast Cancer,OS,DFS,Baldini,,,1.01,,0.843664817,,
"BERRU1214
",Breast Cancer,OS,DFS,Therasse,,,1.03,,1.185304851,,
"BERRU1214
",Breast Cancer,OS,DFS,Frasci,,,0.7,,0.532591801,,
"BERRU1214
",Breast Cancer,OS,DFS,Untch,,,0.59,,0.618783392,,
"BERRU1214
",Breast Cancer,OS,DFS,Arun,,,0.83,,0.726149037,,
"BERRU1214
",Breast Cancer,OS,DFS,Untch,,,1.11,,1.072508181,,
"BERRU1214
",Breast Cancer,OS,DFS,Ellis,,,1.33,,0.843664817,,
"BERRU1214
",Breast Cancer,OS,DFS,Walker,,,0.89,,0.234570288,,
"BERRU1214
",Breast Cancer,OS,DFS,Buzdar,,,0.85,,0.860707976,,
"BERRU1214
",Breast Cancer,OS,DFS,Gianni,,,0.92,,0.93239382,,
"BERRU1214
",Breast Cancer,OS,DFS,Lee,,,1.04,,0.843664817,,
"BERRU1214
",Breast Cancer,OS,DFS,Kelly,,,1.05,,0.763379494,,
"BERRU1214
",Breast Cancer,OS,DFS,vonMinckwitz,,,1.14,,1.010050167,,
"BERRU1214
",Breast Cancer,OS,DFS,Toi,,,0.91,,0.878095431,,
"BERRU1214
",Breast Cancer,OS,DFS,vonMinckwitz 2,,,0.71,,0.826959134,,
"BERRU1214
",Breast Cancer,OS,DFS,vonMinckwitz3,,,0.88,,0.794533603,,
"BERRU1214
",Breast Cancer,OS,DFS,Schneeweiss,,,0.79,,0.763379494,,
"BERRU1214
",Breast Cancer,OS,DFS,Cocconi,,,0.6,,0.852143789,,
"BERRU1214
",Breast Cancer,OS,DFS,Smith2,,,0.98,,0.990049834,,
"BERRU1214
",Breast Cancer,OS,DFS,vonMinckwitz,,,0.98,,0.990049834,,
"BERRU1214
",Breast Cancer,OS,DFS,Kaufmann,,,0.9,,1.25860001,,
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Rossi,113,116,0.87,"[0.57,1.32]",1.22,"[0.79,1.88]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Chan,37,40,1.07,"[0.55,2.12]",1.33,"[0.57,3.10]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Cvitcovics,171,168,0.73,"[0.57,0.95]",0.93,"[0.67,1.28]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Chua,92,87,0.81,"[0.55,1.21]",0.98,"[0.57,1.69]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Hareyama,40,40,0.72,"[0.38,1.36]",0.87,"[0.43,1.77]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Chan2,174,176,0.78,"[0.57,1.08]",0.72,"[0.50,1.03]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Lin,141,143,0.56,"[0.37,0.86]",0.58,"[0.38,0.88]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,KwongConcurrent,110,109,0.77,"[0.49,1.20]",0.68,"[0.41,1.11]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,KwongAdjuvant,111,108,1.02,"[0.68,1.54]",1.15,"[0.67,1.97]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Lee,172,176,0.66,"[0.47,0.92]",0.81,"[0.58,1.13]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Lee2,51,42,0.89,"[0.46,1.73]",0.76,"[0.38,1.54]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Chen,158,158,0.64,"[0.44,0.94]",0.69,"[0.48,0.99]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Huang,201,199,1.07,"[0.78,1.46]",1.17,"[0.80,1.69]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Hui,34,31,0.48,"[0.17,1.40]",0.27,"[0.09,0.83]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Chen3,116,114,0.45,"[0.23,0.88]",0.3,"[0.12,0.76]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,FFS,Xu,170,168,1.2,"[0.81,1.79]",1.19,"[0.75,1.89]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Al-Sarraf,93,92,0.35,"[0.24,0.53]",0.39,"[0.24,0.63]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Ma,228,228,0.77,"[0.59,1.00]",0.79,"[0.59,1.06]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Chi,77,77,0.8,"[0.52,1.25]",0.9,"[0.53,1.54]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Lee,172,176,0.72,"[0.53,0.98]",0.81,"[0.58,1.13]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Wee,111,110,0.55,"[0.37,0.81]",0.56,"[0.36,0.86]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Lee2,51,42,0.98,"[0.53,1.81]",0.76,"[0.38,1.54]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Chen,158,158,0.65,"[0.46,0.92]",0.69,"[0.48,0.99]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Chen2,251,257,0.77,"[0.55,1.10]",0.76,"[0.52,1.12]",
"CHEN0815
",Nasopharyngeal Carcinoma,OS,PFS,Fountzilas,72,69,0.75,"[0.43,1.31]",1.03,"[0.57,1.86]",
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Bendell,36,35,1.04,,0.69,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Bendell2,49,51,1.27,,1.36,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Bennouna,409,411,0.68,,0.81,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Ciardiello,39,36,0.8,,0.78,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Cohn,52,52,1.01,,1.27,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Cohn2,51,52,0.69,,0.89,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Cunningham,71,66,1.28,,1.39,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Cunningham2,73,66,1.17,,1,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Eng,60,57,0.85,,0.7,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Giantonio,286,291,0.61,,0.75,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Hecht,85,80,1.45,,1.5,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Hecht2,84,80,1.32,,1.23,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Hoehler,50,51,0.84,,1.57,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Iwamoto,187,181,0.95,,1.08,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Masi,92,92,0.7,,0.77,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Peters,95,49,1.23,,0.9,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Peters2,208,213,0.7,,0.81,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Seymour,230,230,0.78,,1.01,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,Tabernero,536,536,0.79,,0.84,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,VanCutsem,426,429,0.83,,1,,
"CHIA1116
",Metastatic Colorectal Cancer,OS,PFS,VanCutsem2,612,614,0.76,,0.82,,
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Burmeister,128,128,0.82,"[0.61,1.1]",0.89,"[0.67,1.19]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Lee,51,50,0.98,"[0.55,1.72]",0.88,"[0.48,1.63]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Mariette,98,97,0.92,"[0.66,1.3]",0.99,"[0.69,1.4]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Allum,400,402,0.82,"[0.71,0.95]",0.84,"[0.72,0.98]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Ando,164,166,0.84,"[0.63,1.11]",0.73,"[0.54,0.99]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Boonstra,85,84,0.72,"[0.52,1]",0.71,"[0.51,0.98]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Cunningham,250,253,0.66,"[0.53,0.81]",0.75,"[0.6,0.93]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Shapiro,178,180,0.64,"[0.49,0.82]",0.68,"[0.53,0.88]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Yehou,113,111,0.65,"[0.48,0.89]",0.69,"[0.5,0.95]",
"FAUS0317
",Gastro-oesophageal Cancer,OS,DFS,Schuhmacher,72,72,0.79,"[0.49,1.16]",0.84,"[0.52,1.35]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Neoptolemos2,,,0.9,"[0.8,1.1]",0.94,"[0.8,1.1]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Neoptolemos3,,,0.69,"[0.5,0.9]",0.95,"[0.7,1.28]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Neoptolemos4,,,0.68,"[0.5,0.9]",0.7,"[0.57,1]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Oettle,,,0.5,"[0.4,0.69]",0.76,"[0.6,0.95]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Neoptolemos5,,,0.86,"[0.7,1]",0.82,"[0.68,0.98]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Schmidt,,,0.86,"[0.36,1.58]",1.04,"[0.6,1.53]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Smeenk,,,0.94,"[0.7,1.26]",0.9,"[0.68,1.23]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Ueno,,,0.6,"[0.4,0.9]",0.77,"[0.5,1.14]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Uesaka,,,0.6,"[0.47,0.76]",0.57,"[0.4,0.72]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Yoshitomi,,,1.06,"[0.69,1.4]",1.4,"[0.8,2.39]",
"FAUS0717
",Pancreatic Cancer,OS,DFS,Sinn,,,0.89,"[0.7,1.1]",0.9,"[0.7,1.15]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Gallingioni,60,60,1.46,"[0.81,2.62]",1.45,"[0.74,2.86]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Pizzocaro,33,33,1.41,"[0.93,2.15]",1.04,"[0.67,1.61]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Messing,123,124,1.15,"[0.87,1.53]",1.3,"[0.96,1.76]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Atzpodien,140,143,1.27,"[0.85,1.88]",1.74,"[1.06,2.87]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Wood,135,68,0.92,"[0.73,1.17]",0.98,"[0.70,1.36]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Aitchison,23,23,0.84,"[0.63,1.12]",0.87,"[0.61,1.23]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Passalacqua,50,49,0.84,"[0.54,1.31]",1.07,"[0.64,1.79]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Chamie,154,155,0.97,"[0.79,1.18]",0.99,"[0.74,1.32]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Haas,151,152,1.02,"[0.85,1.23]",1.17,"[0.90,1.52]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Hass2,433,431,0.97,"[0.80,1.17]",0.98,"[0.75,1.28]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Ravaud,647,647,0.76,"[0.59,0.98]",1.01,"[0.72,1.44]",
"HARS1215
",Renal Cell Carcinoma,OS,DFS,Margulis,309,306,2.34,"[0.94,5.85]",1.98,"[0.54,7.22]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Llovet,299,303,0.58,"[0.45,0.74",0.69,"[0.55,0.87]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Cheng,150,76,0.57,"[0.42,0.79]",0.68,"[0.50,0.93]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Llovet2,263,132,0.56,"[0.42,0.76]",0.89,"[0.69,1.15]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Johnson,577,578,1.01,"[0.88,1.16]",1.07,"[0.94,1.23]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Cheng2,530,544,1.13,"[0.98,1.31]",1.3,"[1.13,1.50]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Zhu,362,184,0.93,"[0.75,1.15]",1.05,"[0.86,1.27",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Cainap,514,521,0.76,"[0.64,0.90]",1.05,"[0.90,1.22]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Zhu2,362,358,1.14,"[0.94,1.37]",0.93,"[0.78,1.11]",
"JANG1016
",Hepatocellular Carcinoma,OS,TTP,Zhu3,283,282,0.59,"[0.49,0.72]",0.87,"[0.72,1.05]",
"JOSE0119
",Advanced HCC,OS,PFS,SUN1170,530,544,1.13,"[0.99,1.30]",1.3,"[1.13,1.50]",
"JOSE0119
",Advanced HCC,OS,PFS,LIGHT,514,521,0.81,"[0.70,0.95]",1.05,"[0.90,1.22]",
"JOSE0119
",Advanced HCC,OS,PFS,SEARCH,362,258,1.11,"[0.94,1.31]",0.93,"[0.78,1.11]",
"JOSE0119
",Advanced HCC,OS,PFS,REFLECT,478,476,0.66,"[0.57,0.77]",0.92,"[0.79,1.06]",
"JOSE0119
",Advanced HCC,OS,PFS,SARAH,237,222,1.03,"[0.85,1.25]",1.15,"[0.94,1.41",
"JOSE0119
",Advanced HCC,OS,PFS,SIRveNIB,182,178,0.89,"[0.70,1.10]",1.1,"[0.90,1.40]",
"JOSE0119
",Advanced HCC,OS,PFS,EACH,184,187,0.62,"[0.49,0.79]",0.8,"[0.63,1.02]",
"JOSE0119
",Advanced HCC,OS,PFS,CALGB80802,173,173,0.9,"[0.72,1.20]",1.06,"[0.80,1.40]",
"JOSE0119
",Advanced HCC,OS,PFS,SILIUS,103,103,0.75,"[0.57,1.00]",1.01,"[0.74,1.37]",
"JOSE0119
",Advanced HCC,OS,PFS,REACH,283,282,0.63,"[0.52,0.75]",0.87,"[0.72,1.05]",
"JOSE0119
",Advanced HCC,OS,PFS,RESORCE,379,194,0.46,"[0.37,0.56]",0.63,"[0.50,0.79]",
"JOSE0119
",Advanced HCC,OS,PFS,METIV-HCC,226,114,0.96,"[0.75,1.22]",0.97,"[0.75,1.25]",
"JOSE0119
",Advanced HCC,OS,PFS,CELESTIAL,470,237,0.44,"[0.36,0.52]",0.76,"[0.63,0.92]",
"JOSE0119
",Advanced HCC,OS,PFS,REACH-2,197,95,0.45,"[0.34,0.60]",0.71,"[0.53,0.95]",
"JOSE0119
",Advanced HCC,OS,PFS,ADI-PEG20,424,211,1.18,"[0.96,1.43]",1.02,"[0.85,1.23]",
"JOSE0119
",Advanced HCC,OS,PFS,ReLive,263,134,0.95,"[0.74,1.22]",1,"[0.78,1.28]",
"JOSE0119
",Advanced HCC,OS,TTP,SHARP,299,303,0.58,"[0.45,0.74]",0.69,"[0.55,0.87]",
"JOSE0119
",Advanced HCC,OS,TTP,Asian-Pacific,150,76,0.57,"[0.42,0.79]",0.68,"[0.50,0.93]",
"JOSE0119
",Advanced HCC,OS,TTP,SUN1170,530,544,1.13,"[0.98,1.31]",1.3,"[1.13,1.50]",
"JOSE0119
",Advanced HCC,OS,TTP,Brisk-FL,577,578,1.01,"[0.88,1.16]",1.07,"[0.94,1.23]",
"JOSE0119
",Advanced HCC,OS,TTP,LIGHT,514,521,0.76,"[0.64,0.90]",1.05,"[0.90,1.22]",
"JOSE0119
",Advanced HCC,OS,TTP,SEARCH,362,258,1.14,"[0.94,1.37]",0.93,"[0.78,1.11]",
"JOSE0119
",Advanced HCC,OS,TTP,REFLECT,478,476,0.63,"[0.53,0.73]",0.92,"[0.79,1.06]",
"JOSE0119
",Advanced HCC,OS,TTP,SIRveNIB,182,178,0.88,"[0.7,1.1]",1.1,"[0.90,1.40]",
"JOSE0119
",Advanced HCC,OS,TTP,SILIUS,103,103,0.65,"[0.48,0.87]",1.01,"[0.74,1.37]",
"JOSE0119
",Advanced HCC,OS,TTP,BRISK-PS,263,132,0.56,"[0.42,0.76]",0.89,"[0.69,1.15]",
"JOSE0119
",Advanced HCC,OS,TTP,EVOLVE-1,362,184,0.93,"[0.75,1.15]",1.05,"[0.86,1.27]",
"JOSE0119
",Advanced HCC,OS,TTP,REACH,283,282,0.59,"[0.49,0.72]",0.87,"[0.72,1.05]",
"JOSE0119
",Advanced HCC,OS,TTP,RESORCE,379,194,0.44,"[0.36,0.55]",0.63,"[0.50,0.79]",
"JOSE0119
",Advanced HCC,OS,TTP,METIV-HCC,226,114,0.96,"[0.74,1.25]",0.97,"[0.75,1.25]",
"JOSE0119
",Advanced HCC,OS,TTP,CELESTIAL,470,237,0.41,"[0.34,0.49]",0.76,"[0.63,0.92]",
"JOSE0119
",Advanced HCC,OS,TTP,REACH-2,197,95,0.43,"[0.31,0.58]",0.71,"[0.53,0.95]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOG111,202,184,0.7,"[0.5,0.8]",0.6,"[0.5,0.8]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,North Thames Ovary Group,118,115,0.91,"[0.71,1.16]",1.02,"[0.76,1.35]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOCA,77,81,1.2,,1,,
"SJOQU0818
",Ovarian Cancer,OS,PFS,ICON2,760,766,0.92,"[0.81,1.04]",1,"[0.86,1.16]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOG132,200,201,1.06,"[0.86,1.3]",0.99,"[0.80,1.23]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,DanishCollaboration,108,100,1.07,"[0.78,1.48]",0.85,"[0.59,1.24]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOG111/SWOG,227,235,0.78,"[0.66,0.94]",0.81,"[0.65,1.00]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,OV10,338,342,0.81,"[0.68,0.95]",0.75,"[0.63,0.9]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,ICON3,1364,710,0.93,"[0.84,1.03]",0.98,"[0.87,1.1]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,AGO,386,397,1.05,"[0.89,1.23]",1.045,"[0.87,1.26]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOG158,400,392,0.88,"[0.75,1.03]",0.84,"[0.70,1.02]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,SCOTROC,538,539,0.97,"[0.83,1.13]",1.13,"[0.92,1.39]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,HeCOG,121,126,1.01,,1.04,,
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOG172,210,205,0.8,"[0.64,1]",0.75,"[0.58,0.97]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,AGOOVAR,635,647,0.95,"[0.83,1.07]",0.93,"[0.81,1.08]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GINECO/AGO/OVAR-5,650,658,0.97,"[0.85,1.1]",1.01,"[0.86,1.18]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,GOG162,140,140,1,"[0.78,1.28]",1.17,"[0.90,1.52]",
"SJOQU0818
",Ovarian Cancer,OS,PFS,HeCOG,223,228,0.75,"[0.6,0.93]",0.92,,
