"Unique_ID","ECOG_0","ECOG_1","ECOG_2","ECOG_3","ECOG_4","N_Patient","Pub_Year","FRAC_MALE","AGE_MED","Prop_Visceral","OS","PFS","Arm.Name","Title","Arm_Type","Rand_Group"
"BYRNE0997_T2",0.35,0.437,0.184,0.029,0,106,1997,0,NA,NA,18.4,NA,"MPA","Medroxyprogesterone Acetate Addition or Substitution for Tamoxifen in Advanced Tamoxifen-Resistant Breast Cancer: A Phase III Randomized Trial","control",""
"CHAN0409_T1",NA,NA,NA,NA,NA,152,2009,0,56,0.84,19.29,8.05,"GD","Phase III Study of Gemcitabine Plus Docetaxel Compared With Capecitabine Plus Docetaxel for Anthracycline-Pretreated Patients With Metastatic Breast Cancer","experiment",""
"CHAN0409_T2",NA,NA,NA,NA,NA,150,2009,0,53,0.88,21.45,7.98,"CD","Phase III Study of Gemcitabine Plus Docetaxel Compared With Capecitabine Plus Docetaxel for Anthracycline-Pretreated Patients With Metastatic Breast Cancer","control",""
"CONTE0387_T1",NA,NA,NA,NA,NA,59,1987,0,56,0.576,14.7,8.83,"CEF","Conventional Versus Cytokinetic Polychemotherapy With Estrogenic Recruitment in Metastatic Breast Cancer: Results of a Randomized Cooperative Trial","control",""
"CONTE0387_T2",NA,NA,NA,NA,NA,57,1987,0,57,0.517,18.6,9.2,"DES-CEF","Conventional Versus Cytokinetic Polychemotherapy With Estrogenic Recruitment in Metastatic Breast Cancer: Results of a Randomized Cooperative Trial","experiment",""
"CONTE0796_T1",0.554,0.313,0.094,0.039,0,128,1996,0,55,0.586,17.3,9.4,"CEF","Chemotherapy with or without estrogenic recruitment in metastatic breast cancer. A randomized trial of the Gruppo Oncologico Nord Ovest (GONO)","control",""
"CONTE0796_T2",0.554,0.308,0.107,0.031,0,130,1996,0,55,0.562,20,11,"DES-CEF","Chemotherapy with or without estrogenic recruitment in metastatic breast cancer. A randomized trial of the Gruppo Oncologico Nord Ovest (GONO)","experiment",""
"CONTE0804_T1",0.745,0.208,0.047,0,0,106,2004,0,58,0.754,20,11,"Concomitant arm A","Concomitant versus Sequential Administration of Epirubicin and Paclitaxel as First-Line Therapy in Metastatic Breast Carcinoma: Results from the Gruppo Oncologico Nord Ovest Randomized Trial","control",""
"CONTE0804_T2",0.783,0.196,0.022,0,0,92,2004,0,58,0.728,26,10.8,"Sequential arm B","Concomitant versus Sequential Administration of Epirubicin and Paclitaxel as First-Line Therapy in Metastatic Breast Carcinoma: Results from the Gruppo Oncologico Nord Ovest Randomized Trial","experiment",""
"DELEN0290_T1",NA,NA,NA,NA,NA,31,1990,0,63,0.225,NA,NA,"TAM","Sequential alternate administration of tamoxifen and medroxyprogesterone acetate in advanced breast cancer: clinical-biological randomized study","control",""
"DELEN0290_T2",NA,NA,NA,NA,NA,29,1990,0,66,0.14,34,NA,"TAM/MPA","Sequential alternate administration of tamoxifen and medroxyprogesterone acetate in advanced breast cancer: clinical-biological randomized study","experiment",""
"DELMA0401_T1",0.72,0.22,0.07,0,0,74,2001,0,57,0.49,32.7,NA,"CEF21","Accelerated-Intensified Cyclophosphamide, Epirubicin, and Fluorouracil (CEF) Compared With Standard CEF in Metastatic Breast Cancer Patients: Results of a Multicenter, Randomized Phase III Study of the Italian Gruppo Oncologico Nord-Ouest-Mammella Inter Gruppo Group","control",""
"DELMA0401_T2",0.62,0.26,0.12,0,0,77,2001,0,57,0.49,27.2,NA,"HD-CEF14","Accelerated-Intensified Cyclophosphamide, Epirubicin, and Fluorouracil (CEF) Compared With Standard CEF in Metastatic Breast Cancer Patients: Results of a Multicenter, Randomized Phase III Study of the Italian Gruppo Oncologico Nord-Ouest-Mammella Inter Gruppo Group","experiment",""
"DICKL0816_T1",0.618,0.376,0.006,0,0,173,2016,0,56,0.759,47.2,20.2,"Letrozole + Bevacizumab","Phase III Trial Evaluating Letrozole As First-Line Endocrine Therapy With or Without Bevacizumab for the Treatment of Postmenopausal Women With Hormone Receptor-Positive Advanced-Stage Breast Cancer: CALGB 40503 (Alliance)","experiment",""
"DICKL0816_T2",0.605,0.383,0.012,0,0,170,2016,0,59,0.743,43.9,15.6,"Letrozole","Phase III Trial Evaluating Letrozole As First-Line Endocrine Therapy With or Without Bevacizumab for the Treatment of Postmenopausal Women With Hormone Receptor-Positive Advanced-Stage Breast Cancer: CALGB 40503 (Alliance)","control",""
"DIERA0495_T1",0.39,0.51,0.1,0,0,41,1995,0,52,0.8,12.7,NA,"Paclitaxel","Phase II Randomized Study of Paclitaxel Versus Mitomycin in Advanced Breast Cancer","experiment",""
"DIERA0495_T2",0.45,0.4,0.15,0,0,40,1995,0,52.5,0.95,8.4,NA,"Mitomycin","Phase II Randomized Study of Paclitaxel Versus Mitomycin in Advanced Breast Cancer","control",""
"EJLER0604_T1",0.523,NA,NA,0,0,194,2004,0,55,0.49,18,8.2,"Epirubicin","Phase III Study of Intravenous Vinorelbine in Combination With Epirubicin Versus Epirubicin Alone in Patients With Advanced Breast Cancer: A Scandinavian Breast Group Trial (SBG9403)","control",""
"EJLER0604_T2",0.526,NA,NA,0,0.005,193,2004,0,55,0.49,19.1,10.1,"VRL + Epirubicin","Phase III Study of Intravenous Vinorelbine in Combination With Epirubicin Versus Epirubicin Alone in Patients With Advanced Breast Cancer: A Scandinavian Breast Group Trial (SBG9403)","experiment",""
"FRENC0488_T1",0.26,0.39,0.35,0,0,120,1988,0,54,NA,17.7,NA,"FAC","A Prospective Randomized Phase III Trial Comparing Combination Chemotherapy With Cyclophosphamide, Fluorouracil, and Either Doxorubicin or Epirubicin","control",""
"FRENC0488_T2",0.28,0.43,0.29,0,0,124,1988,0,54,NA,15,NA,"FEC","A Prospective Randomized Phase III Trial Comparing Combination Chemotherapy With Cyclophosphamide, Fluorouracil, and Either Doxorubicin or Epirubicin","experiment",""
"GENNA0806_T1",0.661,0.321,0.018,0,0,109,2006,0,56,0.532,28,NA,"Paclitaxel","Lack of Benefit of Maintenance Paclitaxel in First-Line Chemotherapy in Metastatic Breast Cancer","experiment",""
"GENNA0806_T2",0.632,0.33,0.038,0,0,106,2006,0,56,0.443,29,NA,"Control","Lack of Benefit of Maintenance Paclitaxel in First-Line Chemotherapy in Metastatic Breast Cancer","control",""
"GOSS0199_T1",0.373,0.475,0.097,0.04,0,225,1999,0,66,NA,26,NA,"Vorozole","Randomized Phase III Trial Comparing the New Potent and Selective Third-Generation Aromatase Inhibitor Vorozole With Megestrol Acetate in Postmenopausal Advanced Breast Cancer Patients","experiment",""
"GOSS0199_T2",0.462,0.37,0.123,0.039,0,227,1999,0,67,NA,28.7,NA,"Megestrole Acetate","Randomized Phase III Trial Comparing the New Potent and Selective Third-Generation Aromatase Inhibitor Vorozole With Megestrol Acetate in Postmenopausal Advanced Breast Cancer Patients","control",""
"GRADI0113_T1",0.45,0.51,NA,NA,NA,119,2013,NA,50.6,0.76,16.8,6.9,"Sorafenib + Paclitaxel","A double-blind, randomised, placebo-controlled, phase 2b study evaluating sorafenib in combination with paclitaxel as a first-line therapy in patients with HER2-negative advanced breast cancer","experiment",""
"GRADI0113_T2",0.44,0.55,NA,NA,NA,118,2013,NA,53.1,0.74,17.4,5.6,"Placebo + Paclitaxel","A double-blind, randomised, placebo-controlled, phase 2b study evaluating sorafenib in combination with paclitaxel as a first-line therapy in patients with HER2-negative advanced breast cancer","control",""
"HAMBE0411_T1",0.49,0.49,0.02,0,0,53,2011,0,50,0.7,30.5,9.4,"Combination Arm (H+D)","Randomized Phase II Study Comparing Efficacy and Safety of Combination-Therapy Trastuzumab and Docetaxel vs. Sequential Therapy of Trastuzumab Followed by Docetaxel Alone at Progression as First-Line Chemotherapy in Patients with HER2+ Metastatic Breast Cancer: HERTAX Trial","control",""
"HAMBE0411_T2",0.49,0.49,0.02,0,0,46,2011,0,54,0.58,19.7,3.9,"Sequential Arm (H -> D)","Randomized Phase II Study Comparing Efficacy and Safety of Combination-Therapy Trastuzumab and Docetaxel vs. Sequential Therapy of Trastuzumab Followed by Docetaxel Alone at Progression as First-Line Chemotherapy in Patients with HER2+ Metastatic Breast Cancer: HERTAX Trial","experiment",""
"HARBE0316_T1",0.61,0.387,0.003,0,0,332,2016,0,51.8,NA,20.5,5.5,"Afatinib group","Afatinib plus vinorelbine versus trastuzumab plus vinorelbine in patients with HER2-overexpressing metastatic breast cancer who had progressed on one previous trastuzumab treatment (LUX-Breast 1): an open-label, randomised, phase 3 trial","experiment",""
"HARBE0316_T2",0.6,0.39,0.01,0,0,168,2016,0,53.1,NA,28.6,5.6,"Trastuzumab group","Afatinib plus vinorelbine versus trastuzumab plus vinorelbine in patients with HER2-overexpressing metastatic breast cancer who had progressed on one previous trastuzumab treatment (LUX-Breast 1): an open-label, randomised, phase 3 trial","control",""
"HARBE0117_T1",0.51,0.43,0.06,0,0,105,2017,0,62,NA,23.3,NA,"PLD","A randomized phase III study evaluating pegylated liposomal doxorubicin versus capecitabine as first-line therapy for metastatic breast cancer: results of the PELICAN study","experiment",""
"HARBE0117_T2",0.51,0.433,0.048,0.01,0,105,2017,0,63,NA,26.8,NA,"Capecitabine","A randomized phase III study evaluating pegylated liposomal doxorubicin versus capecitabine as first-line therapy for metastatic breast cancer: results of the PELICAN study","control",""
"HARRI0102_T1",0.49,0.44,0.07,0,0,108,2002,NA,58,0.71,16,NA,"TLC D-99","Liposome-Encapsulated Doxorubicin Compared with Conventional Doxorubicin in a Randomized Multicenter Trial as First-Line Therapy of Metastatic Breast Carcinoma","experiment",""
"HARRI0102_T2",0.43,0.45,0.12,0,0,116,2002,NA,58,0.72,20,NA,"Doxorubicin","Liposome-Encapsulated Doxorubicin Compared with Conventional Doxorubicin in a Randomized Multicenter Trial as First-Line Therapy of Metastatic Breast Carcinoma","control",""
"HATSC0212_T1",NA,NA,NA,NA,NA,143,2012,0,57,NA,26,10.8,"ET","Individually tailored treatment with epirubicin and paclitaxel with or without capecitabine as first-line chemotherapy in metastatic breast cancer: a randomized multicenter trial","control",""
"HATSC0212_T2",NA,NA,NA,NA,NA,144,2012,0,55.7,NA,29.7,12.4,"TEX","Individually tailored treatment with epirubicin and paclitaxel with or without capecitabine as first-line chemotherapy in metastatic breast cancer: a randomized multicenter trial","experiment",""
"HENDE0589_T1",0.244,0.47,0.287,0,0,165,1989,0,55,0.4,9.1,NA,"Mitoxantrone","Randomized Clinical Trial Comparing Mitoxantrone With Doxorubicin in Previously Treated Patients With Metastatic Breast Cancer","experiment",""
"HENDE0589_T2",0.289,0.403,0.27,0.038,0,160,1989,0,55,0.4,8.93,NA,"Doxorubicin","Randomized Clinical Trial Comparing Mitoxantrone With Doxorubicin in Previously Treated Patients With Metastatic Breast Cancer","control",""
"ICLI0205_T1",0.208,0.521,0.271,0,0,96,2005,NA,47,NA,14,NA,"EoP","Cisplatin plus oral etoposide (EoP) combination is more effective than paclitaxel in patients with advanced breast cancer pretreated with anthracyclines: a randomised phase III trial of Turkish Oncology Group","experiment",""
"ICLI0205_T2",0.175,0.464,0.361,0,0,97,2005,NA,49,NA,9.5,NA,"Paclitaxel","Cisplatin plus oral etoposide (EoP) combination is more effective than paclitaxel in patients with advanced breast cancer pretreated with anthracyclines: a randomised phase III trial of Turkish Oncology Group","control",""
"INOUE0110_T1",0.77,0.23,0,0,0,53,2010,0,54.3,0.7,NA,14.6,"H + D","Randomized phase III trial of trastuzumab monotherapy followed by trastuzumab plus docetaxel versus trastuzumab plus docetaxel as first-line therapy in patients with HER2-positive metastatic breast cancer: the JO17360 Trial Group","control",""
"INOUE0110_T2",0.74,0.26,0,0,0,54,2010,0,57.5,0.72,NA,3.7,"H -> H + D","Randomized phase III trial of trastuzumab monotherapy followed by trastuzumab plus docetaxel versus trastuzumab plus docetaxel as first-line therapy in patients with HER2-positive metastatic breast cancer: the JO17360 Trial Group","experiment",""
"JASSL0301_T1",0.55,0.38,0.07,0,0,128,2001,0,50,0.64,23.3,NA,"AT","Doxorubicin and Paclitaxel Versus Fluorouracil, Doxorubicin, and Cyclophosphamide as First-Line Therapy for Women With Metastatic Breast Cancer: Final Results of a Randomized Phase III Multicenter Trial","experiment",""
"JASSL0301_T2",0.47,0.46,0.07,0,0,131,2001,0,50,0.68,18.3,NA,"FAC","Doxorubicin and Paclitaxel Versus Fluorouracil, Doxorubicin, and Cyclophosphamide as First-Line Therapy for Women With Metastatic Breast Cancer: Final Results of a Randomized Phase III Multicenter Trial","control",""
"JOHNS1109_T1",0.55,0.45,0,0,0,644,2009,0,63,NA,NA,10.8,"Letrozole + Placebo","Lapatinib Combined With Letrozole Versus Letrozole and Placebo As First-Line Therapy for Postmenopausal Hormone Receptor-Positive Metastatic Breast Cancer","control",""
"JOHNS1109_T2",0.58,0.42,0,0,0,642,2009,0,62,NA,NA,11.9,"Letrozole + Lapatinib","Lapatinib Combined With Letrozole Versus Letrozole and Placebo As First-Line Therapy for Postmenopausal Hormone Receptor-Positive Metastatic Breast Cancer","experiment",""
"KAUFM0400_T1",NA,NA,NA,NA,NA,366,2000,0,65,0.566,NA,NA,"EXE","Exemestane Is Superior to Megestrol Acetate After Tamoxifen Failure in Postmenopausal Women With Advanced Breast Cancer: Results of a Phase III Randomized Double-Blind Trial","experiment",""
"KAUFM0400_T2",NA,NA,NA,NA,NA,403,2000,0,65,0.593,28.79,NA,"MA","Exemestane Is Superior to Megestrol Acetate After Tamoxifen Failure in Postmenopausal Women With Advanced Breast Cancer: Results of a Phase III Randomized Double-Blind Trial","control",""
"KAUFM1109_T1",NA,NA,0,0,0,103,2009,0,56,NA,28.5,4.8,"Trastuzumab + Anastrozole","Trastuzumab Plus Anastrozole Versus Anastrozole Alone for the Treatment of Postmenopausal Women With Human Epidermal Growth Factor Receptor 2-Positive, Hormone Receptor-Positive Metastatic Breast Cancer: Results From the Randomized Phase III TAnDEM Study","experiment",""
