Paper,Disease,Surrogate,End Outcome,Type of Patient-level Relationship,Numerical Relationship to OS (Rho_I),Rho_I 95% CI,Treatment Effect Correlation (Rho_0),Rho_0 95% CI,Notes
NUHN0312,Cystectomy,DFS (3 year),Overall Survival,,0.8,,0.78,,
PANG1218,Cancer,PFS,Overall Survival,,0.85,,,,
PANG1218,Cancer,CR,Overall Survival,,0.43,,,,
PANG1218,Cancer,ORR,Overall Survival,,0.86,,,,
PANG1218,Cancer,DCR,Overall Survival,,0.81,,,,
PETR0215,Pancreatic Cancer,PFS,Overall Survival,Spearman Rank correlation,0.75,0.62 to 0.85,0.78,0.49 to 0.91,
PETR0215,Pancreatic Cancer,PPS,Overall Survival,Spearman Rank correlation,0.71,0.55 to 0.81,,,
PETR1112,Lung Cancer,PPS,Overall Survival,Spearman Rank correlation,0.75,,,,
PETR1112,Lung Cancer,PFS,Overall Survival,Spearman Rank correlation,0.37,,0.64,0.06 to .88,
PETRE0612,Colorectal Cancer,PPS,Overall Survival,Spearman Rank correlation,0.88,,0.88,,
PETRE0612,Colorectal Cancer,PFS,Overall Survival,Spearman Rank correlation,0.64,,0.59,,
QIAN0115,Cancer,PFS,Overall Survival,Rank Correlation Coefficient,0.514,0.505 to 0.523,0.685,0.576 to 0.794,
QIAN0918,Lymphoma,PFS,Overall Survival,Rank Correlation Coefficient,,,0.85,0.84 to 0.86,
RITC0218,Immune checkpoint inhibitors for solid Cancers,PFS,Overall Survival,,0.08,0.17 to 0.7,0.68,0.08 to 1.1,
RITC0218,Immune checkpoint inhibitors for solid Cancers,ORR,Overall Survival,,0.74,0.57 to 0.92,0.63,0.12 to 1.06,
SHIM0218,Cancer,PFS,Overall Survival,Spearman Rank correlation,0.64,,,,
SHIM0218,Cancer,PPS,Overall Survival,Spearman Rank correlation,0.93,,,,
SHIT0613,Cancer,PFS,Overall Survival,Spearman Rank correlation,0.65,,0.36,0.3 to 1,
SHIT0613,Cancer,TTP,Overall Survival,Spearman Rank correlation,0.28,,,,
SIDH0113,Colorectal Cancer,PFS,Overall Survival,,0.9,0.78 to 0.95,,,
SIRI0118,Immuno Therapy,PFS,Overall Survival,Spearman Rank correlation,0.61,,0.07,,
STEF0209,Cancer,EFS,Overall Survival,Spearman Rank correlation,0.86,0.86 to 0.86,0.98,0.97 to 1.0,
SUNA1017,Cancer,DpR,Overall Survival,Spearman Rank correlation,0.39,0.3 to 1.05,,,
TANA0119,Tumor,PFS,Overall Survival,Kendall's Tau,0.407,0 to 0.25,,,
YUKI0918,Lung Cancer,PFS,Overall Survival,Spearman Rank correlation,0.5,,0.54,,
YUKI0918,Lung Cancer,TFS,Overall Survival,Spearman Rank correlation,0.84,,0.85,,
ZHAO1118,Lung Cancer,PFS,Overall Survival,Spearman Rank correlation,0.1,0.098 to 0.101,,,
